Employee_ID,Department,Age,Gender,Years_At_Company,Job_Level,Weekly_Hours,Training_Hours,Projects_Completed,Attendance_Rate,Engagement_Score,Salary_Hike_Pct,Prev_Rating_1,Prev_Rating_2,Performance_Score,Attrition_Risk
EMP1036,Data Science,28,Female,5,3,49,45,5,0.9456941891117184,2.823663748088455,16,0,1,Medium,0.0
EMP1037,HR,35,Female,9,5,36,57,2,0.8000105653864594,1.2848268701649301,23,1,1,Low,0.5655233420126344
EMP1038,Marketing,36,Female,4,3,52,94,3,0.9907841607693444,4.19474948372145,5,1,0,Medium,0.0
EMP1039,Marketing,28,Female,1,2,47,37,9,0.9628417534109326,1.9732077119318685,12,2,1,Medium,0.6002947084076287
EMP1040,Engineering,30,Female,4,5,48,77,7,0.980796339317857,3.9016484927718817,8,0,0,High,0.0
EMP1041,HR,29,Female,6,3,39,71,1,0.8031286590614869,1.273393485792779,23,0,0,Low,0.5191736174933076
EMP1042,Finance,44,Female,5,3,44,89,3,0.9867717591571479,4.820394224662744,9,1,1,Medium,0.0
EMP1043,HR,50,Male,14,4,46,95,2,0.961957705737621,1.7720599416227945,21,1,1,Medium,0.5043776956401755
EMP1044,Finance,39,Male,13,3,44,85,1,0.9674438285917397,4.530968304828322,7,0,0,Medium,0.0
EMP1045,Engineering,52,Male,1,1,58,89,9,0.8186574769443937,4.237892838461738,23,0,1,High,0.323737708356448
EMP1046,Sales,51,Male,4,5,45,60,8,0.9477556057837195,4.871439696325664,5,2,0,High,0.1446822840111534
EMP1047,Marketing,56,Male,6,1,59,51,5,0.9919833379284182,2.9115626437829984,5,1,1,Medium,0.4243986187997647
EMP1048,Engineering,39,Male,13,5,36,38,2,0.9357094682836321,3.909589175383806,24,1,0,Medium,0.019192200503611326
EMP1049,Marketing,38,Male,10,4,39,91,1,0.9141122809249214,2.482842628151136,13,1,1,Medium,0.21321464601437015
EMP1050,Data Science,35,Non-Binary,10,3,41,19,7,0.9891259355497994,1.7374729520787753,9,1,1,Medium,0.42463479529484993
EMP1051,Sales,52,Male,14,3,40,48,2,0.8885874243468872,2.7723037317337953,11,1,1,Medium,0.0
EMP1052,Sales,45,Female,4,3,56,91,1,0.9198587132620958,1.6629960615538195,10,1,1,Low,0.9717922943123651
EMP1053,Engineering,56,Male,14,5,57,10,2,0.8952676586988733,4.928178491145536,21,2,1,Medium,0.2864567690969432
EMP1054,Sales,55,Female,9,3,37,48,7,0.9865692442720598,1.3849859645628655,21,0,0,Medium,0.5255937040015697
EMP1055,Finance,24,Male,5,1,47,30,7,0.8152169453531015,3.3568468938104816,17,2,0,Medium,0.05745617175367154
EMP1056,Sales,58,Male,8,3,37,74,6,0.9002239401650697,3.5058554210162236,16,0,1,Medium,0.11244141499708891
EMP1057,Marketing,47,Female,9,4,59,24,5,0.9373904882770877,3.152318171496217,8,1,1,Medium,0.5212983928549371
EMP1058,Marketing,44,Male,10,1,58,13,3,0.9583813076844474,3.6487435428473343,12,0,1,Low,0.5585789219072468
EMP1059,Marketing,36,Male,5,3,55,69,3,0.9166037294888273,1.4647231000475638,9,0,1,Medium,0.30552471479911103
EMP1060,Marketing,25,Male,6,3,40,70,9,0.9817835488242908,3.2200740968211643,9,2,1,High,0.0
EMP1061,Finance,50,Male,1,2,45,29,4,0.9883982893767743,2.148850284509446,17,1,0,Low,0.11272389292114618
EMP1062,HR,43,Male,11,5,51,19,9,0.8128638446387167,4.760704253204226,15,0,1,High,0.016495687540902467
EMP1063,Data Science,46,Male,12,1,44,96,4,0.880474107908275,4.048286613758902,12,2,1,Medium,0.11320968808346893
EMP1064,Engineering,34,Female,7,2,46,43,2,0.8046918043442309,4.890057928638971,12,2,1,Medium,0.0
EMP1065,Marketing,39,Female,4,4,51,57,4,0.8658833314748886,1.1502242789607582,5,1,1,Medium,0.4149995089907739
EMP1066,Sales,54,Female,11,5,38,42,6,0.9073736435941204,2.1405327007228347,17,2,1,Medium,0.0
EMP1067,Marketing,37,Male,2,1,36,70,6,0.9821589861019898,1.781690346553396,9,1,2,Medium,0.48027275724376983
EMP1068,Sales,23,Female,5,3,45,19,5,0.9693108644930806,1.044618349247322,12,2,2,Medium,0.33322176057117103
EMP1069,Data Science,56,Male,12,1,41,63,1,0.8254999453343972,1.9693029209852857,21,1,1,Low,0.3803553738356902
EMP1070,Data Science,55,Male,3,3,36,93,3,0.8186060749481792,3.7151039340817156,17,2,1,Medium,0.047086885937538084
EMP1071,Data Science,51,Female,6,5,52,74,5,0.9178534677513335,1.9243556885382742,13,1,1,Medium,0.4987834421307994
EMP1072,Sales,34,Male,8,3,55,86,6,0.9064235944917566,3.036013781930473,6,1,2,Medium,0.044637424475853574
EMP1073,Marketing,34,Male,7,4,38,10,1,0.8532755282860048,4.5512724598599945,23,1,1,Low,0.13597695045319863
EMP1074,Data Science,39,Female,3,3,42,14,9,0.9798906169107671,3.775031681396301,24,1,0,Medium,0.0
EMP1075,Finance,53,Female,8,4,54,89,3,0.9854732818923106,2.578516279624128,21,1,1,Medium,0.049449753178032144
EMP1076,Sales,53,Female,2,5,48,24,3,0.8805222876680325,2.489875755648433,11,0,0,Low,0.21414789529346737
EMP1077,Sales,56,Female,10,5,46,37,2,0.9780605114227041,2.822943256033939,7,2,1,Medium,0.0
EMP1078,Marketing,50,Non-Binary,9,1,56,32,8,0.8767897788525946,1.7081657642396255,23,1,1,Medium,0.9822463342993791
EMP1079,Sales,50,Male,4,4,55,26,3,0.94736336636594,3.5360030696639524,23,1,1,Medium,0.0
EMP1080,Sales,37,Male,1,4,52,22,6,0.8951884435095449,2.456611276418422,13,1,0,Medium,0.17750370211274658
EMP1081,Data Science,31,Male,8,2,45,23,2,0.8245166313014366,4.409461397048174,14,2,2,Low,0.20317839048706401
EMP1082,Marketing,51,Male,7,2,42,20,7,0.9855868402474043,4.026210640231265,18,1,1,Medium,0.0
EMP1083,Data Science,46,Male,11,2,36,37,4,0.8908193186755073,3.44205265636864,22,1,1,Medium,0.0
EMP1084,Data Science,41,Female,13,3,59,51,9,0.9468974080644808,2.4568088905980643,19,2,1,Medium,0.4959496076599441
EMP1085,Marketing,26,Female,5,2,49,70,9,0.8734347628862584,1.8397273266939376,5,1,1,Medium,0.36349449671950296
EMP1086,Engineering,22,Female,10,4,43,73,7,0.803776175715247,4.1046074564224915,10,1,1,Medium,0.0
EMP1087,Data Science,51,Male,13,3,53,40,8,0.8201060717383672,2.945636395964346,19,1,1,Medium,0.0
EMP1088,Finance,24,Female,5,5,54,90,3,0.8992438958979849,1.89900015270943,10,2,0,Medium,0.31428276261082944
EMP1089,Finance,35,Female,7,1,42,82,5,0.9379928714252725,1.7806984601600249,22,1,1,Medium,0.4491814401087963
EMP1090,Sales,51,Female,5,2,59,19,2,0.8669470653158559,1.661603618005436,5,1,0,Low,1.0
EMP1091,Finance,25,Male,8,5,53,17,7,0.93909769183553,4.1086447848223795,7,2,2,Medium,0.0
EMP1092,Sales,39,Female,11,4,39,30,8,0.9397271178863912,1.9159487412012468,21,1,0,Medium,0.32941959448843505
EMP1093,Engineering,58,Male,13,1,45,86,9,0.9407871814655662,3.10656905410079,20,1,1,High,0.07566424651069377
EMP1094,Marketing,46,Male,6,5,49,68,7,0.8985043708041017,2.806185443892226,12,2,1,Medium,0.0
EMP1095,Marketing,22,Male,13,1,42,59,8,0.9829772300243008,3.3184435969131356,21,0,1,Medium,0.0
EMP1096,Marketing,36,Female,5,2,53,78,9,0.8978393035961232,4.508619601484777,12,1,1,High,0.0
EMP1097,Finance,30,Female,9,4,57,79,6,0.8900530386993276,4.470989560326922,21,1,0,High,0.43520386129581207
EMP1098,Engineering,36,Male,11,1,42,39,2,0.8398761638021255,2.8043042872994386,13,2,1,Medium,0.03091577195174642
EMP1099,Finance,45,Male,2,5,53,26,2,0.8615310174712674,1.0614650029388932,16,0,1,Low,0.5315953969620959
EMP1100,Finance,25,Male,1,2,52,84,4,0.8084668985036607,2.7057752228572127,23,1,1,Medium,0.0005085396128234085
EMP1101,Engineering,33,Male,8,2,44,29,9,0.926707058723234,3.4247741496965616,8,2,1,Medium,0.15271323841551307
EMP1102,Engineering,58,Male,12,5,41,57,7,0.8497071487854186,3.231059036392247,15,0,2,Medium,0.0
EMP1103,Engineering,58,Male,3,5,43,82,2,0.8608310508970931,3.605344423200822,8,0,1,Medium,0.0
EMP1104,Engineering,27,Female,14,1,35,11,8,0.9541629043328642,1.616302929892334,18,2,1,Medium,0.4455075575720371
EMP1105,Marketing,45,Male,11,3,53,46,7,0.8654442366322908,3.5861403951229303,18,1,1,Medium,0.0
EMP1106,HR,32,Male,12,2,39,10,9,0.8484391784026285,1.730606474975089,10,2,1,Medium,0.3289974913184899
EMP1107,HR,34,Male,12,1,53,13,8,0.8338115498267412,4.002095922786996,21,0,1,Medium,0.0652080237354908
EMP1108,Engineering,55,Female,12,5,35,63,3,0.9549716804363912,2.35635045305072,6,1,2,Medium,0.083922514466879
EMP1109,HR,46,Female,7,1,49,34,1,0.8259412515980055,3.8395817335258142,12,1,0,Low,0.0
EMP1110,HR,28,Female,10,5,50,12,2,0.8907507520500707,1.1914623956244283,8,1,1,Low,0.5347402090668513
EMP1111,Engineering,25,Male,13,4,57,18,2,0.9013860232154389,2.6314401023636536,14,1,1,Low,0.8317516231196855
EMP1112,HR,29,Female,11,5,41,95,4,0.9374779825371429,3.820138089053331,11,1,1,High,0.05834049157981909
EMP1113,Finance,41,Male,8,5,46,96,6,0.9266566964665991,1.9074820653259765,8,2,1,Medium,0.467610363829715
EMP1114,Sales,50,Female,13,5,42,85,4,0.9621441345890349,4.18114817918889,20,1,1,Medium,0.11728942786314785
EMP1115,Sales,31,Female,13,3,39,83,9,0.8089502867852477,3.523118932419728,18,1,1,High,0.0017068825199726117
EMP1116,Engineering,55,Female,6,5,44,43,4,0.8592881449558795,3.3502470885991933,20,0,2,Medium,0.07966841600916201
EMP1117,Marketing,47,Female,12,2,55,52,6,0.856026823755076,2.4141954168173485,13,1,1,Medium,0.07180620438372025
EMP1118,Engineering,24,Female,10,2,39,83,6,0.8292033811184217,2.9298058815244703,8,1,1,Medium,0.053904149675275896
EMP1119,Marketing,27,Male,14,1,51,31,1,0.8578356507712886,3.3893972039114124,10,1,1,Low,0.16779880293825955
EMP1120,Sales,26,Female,9,3,39,79,8,0.8619530628285808,2.889848455659562,5,1,0,Medium,0.017205892236625886
EMP1121,Engineering,26,Male,7,1,56,11,3,0.9043768923854957,3.7932532957622405,11,0,1,Low,0.5411638435693222
EMP1122,Data Science,44,Female,10,2,49,75,6,0.9327408957852512,2.7347877324278382,5,0,1,Medium,0.0012814304566494935
EMP1123,Finance,30,Male,5,2,47,41,3,0.8762201027223628,1.8090927269681214,23,1,1,Low,0.4831509107900734
EMP1124,HR,56,Male,8,4,35,25,2,0.9438940462626763,1.855735131204189,12,1,1,Low,0.5209376008727048
EMP1125,Marketing,41,Male,2,5,45,85,5,0.867233067715916,1.0232150753717644,7,2,1,Medium,0.37176879580750705
EMP1126,Data Science,56,Male,7,2,57,10,1,0.8580567354629521,2.20383086223469,5,1,1,Low,0.5056294568569925
EMP1127,HR,39,Female,4,1,35,81,9,0.9082376111714049,3.9956705619140784,5,0,1,High,0.0
EMP1128,HR,38,Female,9,1,45,57,7,0.8047432720611581,4.176650835350438,11,1,2,Medium,0.0
EMP1129,Engineering,45,Male,12,5,52,59,3,0.8159578247268001,1.809870168383,17,0,1,Low,0.6402262344664378
EMP1130,HR,24,Male,1,5,52,22,4,0.8835939087173055,4.836175987485631,5,1,1,Medium,0.09492573018529094
EMP1131,Finance,53,Female,7,4,55,24,6,0.9885825422783513,3.009611173920507,20,2,1,Medium,0.0
EMP1132,Data Science,56,Male,6,3,50,62,3,0.9443023559686847,4.6679149960740105,18,1,1,Medium,0.1335104617268624
EMP1133,HR,59,Female,8,1,47,53,7,0.8176253139001116,3.8270611274465245,8,1,1,Medium,0.09386110786254934
EMP1134,Engineering,34,Female,5,5,41,17,6,0.9692636025561747,3.8897336920896524,16,1,1,Medium,0.05040938319439419
EMP1135,Finance,46,Female,1,1,35,83,9,0.9464601541216362,1.3401744852242845,16,1,2,High,0.41536491292966193
EMP1136,Sales,30,Female,1,5,50,55,5,0.9221893051405307,1.8799645075877227,21,2,2,Medium,0.4319120841868542
EMP1137,Data Science,25,Male,9,2,35,78,4,0.9640585921218354,1.0352593331778905,19,0,1,Medium,0.5187051150666382
EMP1138,HR,35,Female,10,1,51,28,3,0.8808219695485915,3.86451056190695,14,1,1,Medium,0.12235796597592737
EMP1139,Engineering,58,Male,6,2,40,47,1,0.8443002101707706,2.37775315371404,7,1,1,Low,0.3334946728383643
EMP1140,Sales,55,Male,10,1,36,20,3,0.9024046778217519,4.146610064305387,24,1,1,Medium,0.004132683187700316
EMP1141,Sales,32,Female,5,3,51,52,3,0.9097683511186948,2.355744879748105,24,1,1,Medium,0.0554967164998613
EMP1142,Marketing,24,Male,1,4,40,29,7,0.9076652744019824,4.277335009195444,16,2,1,Medium,0.13435465066220514
EMP1143,Finance,49,Female,6,2,48,29,7,0.9130147582960211,1.522793014993252,5,0,0,Medium,0.33762839650836074
EMP1144,HR,50,Female,6,5,52,30,1,0.9897409836478361,1.6934926270300328,5,1,1,Low,0.5681583146281697
EMP1145,Engineering,30,Female,3,3,40,91,3,0.9804491246192463,2.363506158335746,14,1,1,Medium,0.0016036663013478344
EMP1146,Marketing,24,Female,13,1,44,66,8,0.975143407311788,2.6339495555290933,22,1,1,Medium,0.08995987379794065
EMP1147,Finance,46,Male,8,2,58,59,9,0.9602833621817255,2.3948112433719135,19,1,1,High,0.4915172150718623
EMP1148,Marketing,55,Male,14,1,52,83,7,0.988685621453057,4.054588130092879,6,0,1,High,0.0
EMP1149,Data Science,33,Female,1,1,43,35,7,0.8196989283358806,1.3878055705068588,21,0,0,Medium,0.249139054562029
EMP1150,Finance,30,Male,1,1,42,39,8,0.8530246522891479,2.4048680785539522,12,0,1,Medium,0.024618394429596728
EMP1151,Finance,36,Female,6,4,44,82,6,0.899011189130917,4.348959998061837,13,2,1,High,0.0
EMP1152,HR,46,Female,10,4,51,40,3,0.9693068986246811,1.267188309048688,24,1,1,Medium,0.25100637953597776
EMP1153,Finance,26,Female,13,5,57,51,1,0.9010331423045466,4.76937403068543,15,1,1,Medium,0.2736128439266283
EMP1154,Marketing,32,Male,1,2,40,77,7,0.9496069478683178,4.945267369088052,10,1,1,High,0.03263810078455605
EMP1155,Finance,55,Male,6,3,48,70,1,0.8277919810497832,1.3542726953003204,18,1,1,Low,0.7361037360932808
EMP1156,HR,45,Male,1,3,56,70,1,0.8504827625953121,2.165090089022948,5,1,0,Medium,0.4038894516236244
EMP1157,HR,36,Male,14,3,56,79,9,0.9463552190075345,2.4896026641414246,11,2,1,High,0.4211380654645965
EMP1158,Data Science,59,Female,13,1,40,87,7,0.8329468017775449,4.105565474610904,13,1,2,Medium,0.11828949388779253
EMP1159,Marketing,29,Male,6,4,41,77,4,0.8702711869309854,3.3837072484669353,15,1,1,Medium,0.0
EMP1160,Sales,26,Male,3,2,46,99,6,0.8529732515627143,3.5774628019702694,20,0,2,Medium,0.05201764216002716
EMP1161,Sales,47,Male,14,1,37,26,1,0.8699723388444958,4.030039291274024,23,1,1,Low,0.1988410215681179
EMP1162,Finance,39,Female,14,4,48,28,7,0.9416648098155941,1.4719159977481029,6,1,1,Medium,0.45660574588320674
EMP1163,Data Science,27,Female,8,4,56,60,6,0.8735694362285602,4.3328378276410495,19,2,1,Medium,0.3516516091596184
EMP1164,Engineering,58,Male,13,2,53,79,4,0.9110526645215881,3.822479216720576,7,1,1,Medium,0.0
EMP1165,Finance,34,Male,6,2,57,72,7,0.8199863754108819,3.309366900785481,8,1,1,Medium,0.4140508904285606
EMP1166,Data Science,49,Male,13,2,50,84,3,0.9610035386469256,4.558941339132227,24,1,1,Medium,0.16491913233344618
EMP1167,Marketing,26,Male,11,1,41,89,1,0.873977725129625,3.8012254155352285,11,1,1,Medium,0.08609101045414629
EMP1168,Marketing,34,Female,13,5,42,39,4,0.9297068318066685,1.8067998505241016,16,0,0,Medium,0.34923072298199087
EMP1169,Marketing,38,Female,1,2,52,34,3,0.9450779203323665,2.718981524302667,8,2,1,Medium,0.0
EMP1170,Marketing,53,Male,5,5,59,84,1,0.8419321844223401,2.976171467742933,14,1,0,Medium,0.23179327163022145
EMP1171,Marketing,50,Male,8,1,47,80,2,0.97693499699067,1.2208705070016226,10,2,2,Medium,0.5316099451850482
EMP1172,Data Science,24,Non-Binary,3,5,55,35,5,0.9232448503213906,4.818550053440223,18,2,1,Medium,0.0
EMP1173,Data Science,55,Male,12,3,43,65,8,0.8857450283502963,1.514309043187514,7,1,1,Medium,0.36744865870050636
EMP1174,HR,48,Female,6,5,44,31,1,0.8364670367156439,3.7898450689069074,21,1,1,Medium,0.13212111260775763
EMP1175,Sales,34,Male,5,2,55,98,4,0.9884601875802413,3.0249241443635206,15,0,1,Medium,0.0
EMP1176,Marketing,54,Female,6,1,57,28,4,0.951013640826325,1.1025289995376903,14,2,1,Low,1.0
EMP1177,Engineering,27,Male,10,2,43,40,5,0.8416049125466498,4.698989903457447,14,1,2,Medium,0.0
EMP1178,Data Science,45,Female,1,3,49,35,7,0.867542154944845,4.407347235275733,14,1,0,Medium,0.0
EMP1179,Engineering,40,Non-Binary,7,2,54,51,8,0.9619348516176147,3.097031711615342,7,1,2,Medium,0.0
EMP1180,Engineering,37,Male,9,2,36,50,6,0.9391355326430678,1.915769344557781,19,1,1,Medium,0.32774032185985225
EMP1181,Engineering,49,Male,2,2,59,32,1,0.9531568585431449,1.486491562720377,21,1,1,Low,1.0
EMP1182,HR,54,Male,10,4,47,56,7,0.8882402204425865,2.4535699177285064,22,1,1,Medium,0.0
EMP1183,Data Science,34,Male,5,3,36,22,3,0.9432952525284334,2.021713124184362,23,1,1,Low,0.008835778908095698
EMP1184,Engineering,46,Male,10,2,53,98,6,0.8772987445727828,3.026764804025195,23,2,2,High,0.0
EMP1185,Marketing,57,Male,4,2,36,75,8,0.8422525833876393,4.865637184493716,16,1,1,High,0.0
EMP1186,Finance,48,Female,6,2,37,75,7,0.926535406968272,3.2998139729185656,9,1,1,Medium,0.02043198839883198
EMP1187,Engineering,59,Male,6,1,40,25,6,0.9952027851197589,4.559724223560392,20,2,0,Medium,0.0
EMP1188,HR,28,Male,11,4,37,82,9,0.8621201942790659,3.603515349983109,19,0,1,High,0.0
EMP1189,Data Science,26,Female,2,1,44,37,9,0.892193918442508,2.900986106348802,19,2,1,Medium,0.018258780421433623
EMP1190,HR,52,Male,2,4,58,86,1,0.9348002742139707,4.4184302509334845,10,1,1,Medium,0.37875412749657306
EMP1191,Engineering,44,Female,4,2,40,44,1,0.9083012564244975,2.88547244069199,16,1,1,Medium,0.02504302830010449
EMP1192,Data Science,31,Male,1,3,57,50,1,0.9686855591418099,4.4745126820414445,6,1,0,Medium,0.4680287165717757
EMP1193,Finance,53,Female,9,5,50,86,8,0.9523485412939032,2.166307078303061,24,1,1,High,0.0
EMP1194,Engineering,51,Female,14,5,51,40,7,0.8116594407724714,1.5152522950519525,13,2,1,Medium,0.39356024593752925
EMP1195,HR,52,Female,14,2,53,94,3,0.9996842467847549,4.421257857451753,8,0,1,Medium,0.0
EMP1196,Sales,39,Non-Binary,13,1,37,41,2,0.9504804907438935,3.349660655170667,9,1,2,Low,0.2247333301682524
EMP1197,Marketing,57,Male,7,3,52,63,4,0.9727806632588226,4.556369592995841,12,1,1,Medium,0.0
EMP1198,HR,23,Non-Binary,12,4,41,81,3,0.9302395424190693,4.751308827969533,14,2,0,Medium,0.0
EMP1199,Data Science,35,Male,7,2,43,68,7,0.9712570256093525,1.2145135614857967,11,1,2,Medium,0.43157194222965245
EMP1200,Engineering,34,Male,3,3,54,50,8,0.8224765949857419,3.0038772074354734,18,2,1,High,0.11726975771850674
EMP1201,Marketing,50,Male,11,3,46,75,6,0.8695475671118631,2.499858196298117,9,1,1,Medium,0.0
EMP1202,Engineering,33,Female,12,4,39,63,3,0.9752841887208985,3.5034335882804686,20,0,0,Medium,0.0
EMP1203,Data Science,23,Male,3,3,37,49,6,0.8403310422533785,4.174364788809294,19,1,1,Medium,0.016502526243871166
EMP1204,Engineering,53,Female,1,1,45,37,2,0.8156484197160045,2.122360863897476,9,0,1,Low,0.06643933333536395
EMP1205,Sales,34,Female,3,1,59,46,7,0.9576237879890438,3.2271935374926866,7,1,1,Medium,0.3339618629464461
EMP1206,Marketing,48,Female,3,1,38,74,7,0.9670972311286592,3.8349143196195983,14,0,0,Medium,0.12224021616505024
EMP1207,Marketing,38,Female,4,3,39,83,4,0.8325304436379801,1.537724331342936,9,1,1,Medium,0.4062179229812288
EMP1208,Data Science,52,Male,4,1,35,64,8,0.9708691965565431,4.256267623805067,19,1,0,High,0.0
EMP1209,Sales,55,Male,3,4,52,13,4,0.937353559119434,3.4244383994118923,22,1,1,Medium,0.0
EMP1210,HR,45,Male,10,3,46,19,7,0.9040165366433168,4.798149748454607,12,1,0,Medium,0.016208569264677557
EMP1211,Engineering,56,Male,12,5,47,56,4,0.966050038556277,2.358115676522773,6,1,1,Medium,0.08623905759176877
EMP1212,Finance,27,Male,8,3,43,84,5,0.8838498498637932,1.4325837693487946,12,1,0,Medium,0.238237854137385
EMP1213,Engineering,40,Male,8,4,36,23,7,0.8387987912446795,3.0260048041477012,12,1,1,Medium,0.044971260749650854
EMP1214,Engineering,51,Male,13,5,39,47,3,0.8569705353221228,1.3432430868377554,8,2,0,Medium,0.5330343507489719
EMP1215,HR,28,Non-Binary,13,3,47,21,5,0.901032803658663,4.878106093296028,23,2,2,Medium,0.18878589879586388
EMP1216,Engineering,31,Female,1,1,50,54,3,0.9062661585346352,1.1547398330287661,22,0,2,Low,0.6331222759859877
EMP1217,Sales,53,Male,7,2,50,26,5,0.9611161652882467,4.0140156044292326,5,0,1,Medium,0.05068025945524743
EMP1218,Sales,55,Female,11,2,58,89,3,0.9582705447304669,3.100409592568976,24,2,1,Medium,0.1866815572371856
EMP1219,Marketing,49,Male,2,1,37,44,7,0.916273311440915,2.4744826099931547,19,1,0,Medium,0.20997525479959891
EMP1220,Data Science,36,Male,1,2,56,75,1,0.9561570966730952,1.2633686580346186,22,1,2,Low,0.9424509786903879
EMP1221,Finance,51,Female,3,2,38,84,9,0.8383546916587342,3.488667696694431,16,1,1,High,0.0
EMP1222,Engineering,58,Female,4,1,45,50,9,0.8100129054186589,3.340881317563821,5,1,0,Medium,0.0
EMP1223,Engineering,50,Male,13,1,57,76,5,0.9747267645269401,2.123533092270399,11,1,1,Medium,0.5511673414185432
EMP1224,HR,43,Non-Binary,6,3,48,38,9,0.8151108987525539,4.640886805641248,23,2,0,High,0.22080460475435482
EMP1225,Data Science,25,Female,10,3,37,27,6,0.8493376859487995,2.2164400293713475,5,1,1,Medium,0.012540867947584442
EMP1226,Sales,41,Female,14,1,50,29,5,0.9390637899248769,2.7989016423684245,11,0,1,Medium,0.09980841726036553
EMP1227,Finance,53,Female,5,4,56,23,3,0.8818895875254619,3.1750498236746227,6,0,1,Low,0.6043204048685504
EMP1228,Marketing,57,Female,14,2,49,43,8,0.9752627939831018,1.4009275127051444,11,1,1,Medium,0.29622045269818165
